,Beta,Expected Return,Idiosyncratic Variance
AAPL,1.215624271852279,-0.010049985726073019,0.0001455810967994277
AMZN,1.0658009255045922,-0.0026489408325696268,0.0002870943854002792
DIS,1.051246364779195,-0.0019299677221712719,0.0002462016635695847
GOOGL,1.1356383210539116,-0.006098801700757661,0.00016870661036110998
JPM,1.0986437853527302,-0.004271328037852219,0.00018582433413455356
MSFT,1.1821358206281707,-0.008395707291066278,0.00011669006604171547
NVDA,1.728838815287757,-0.035402001740655,0.0005238379712555705
PG,0.5847972519879884,0.021111907315722957,0.00011590043672079203
TSLA,1.5032615747505658,-0.024258829966250547,0.0012524124351173467
V,1.0488059912654777,-0.0018094169911121519,0.00011344807048290665
